Date,Open,High,Low,Last,Volume,Open Interest
2007/10/26,810,817,801,807,1141,3140
2007/10/25,807.5,815,798.25,804,294,2690
2007/10/24,836,836,810,812,411,2627
2007/10/23,866,868,840,840,344,2540
2007/10/22,840,868,830,867.5,296,2388
2007/10/19,819.75,850,818.75,848,100,2364
2007/10/18,814.25,821,813,820,205,2402
2007/10/17,815,826,808,814,429,2356
2007/10/16,810,822,808,822,267,2141
2007/10/15,841,841,815,826,41,2217
2007/10/12,856,856,830,836.5,165,2198
2007/10/11,840.75,855,831,854,390,2140
2007/10/10,820,832,817,825,760,2135
2007/10/9,813,839,813,818,969,2039
2007/10/8,850,850,835,835,84,1893
2007/10/5,868,868,854,865,215,1856
2007/10/4,870,880,864,869.75,337,1893
2007/10/3,862,873,850,870.75,157,1815
2007/10/2,864,892,863,870,135,1762
2007/10/1,879.5,893,879.5,892,188,1748
2007/9/28,844.75,874.5,844.75,874.5,408,1689
2007/9/27,850,857,840,844.5,566,1659
2007/9/26,825,840,816,840,603,1528
2007/9/25,827.75,833,818,818,312,1160
2007/9/24,825,826,820,820,50,1067
2007/9/21,804,815,793,810,224,1060
2007/9/20,797.25,801,785,793,162,1030
2007/9/19,787,790,778,790,81,980
2007/9/18,814.5,814.5,803,805,56,1003
2007/9/17,797.75,810,795,806,100,1008
2007/9/14,796,814,785,797.25,1160,10651
2007/9/13,802.25,814,784,796.25,1122,10245
2007/9/12,831.25,853,806.5,807,1794,9946
2007/9/11,802.25,830,800.5,829.5,1859,9535
2007/9/10,783,807,783,802.5,2107,9025
2007/9/7,768.75,784,761.5,783.75,1023,8746
2007/9/6,785,790,755,768,2014,8300
2007/9/5,757,785,757,785,3535,7837
2007/9/4,724,755,724,755,2600,6928
2007/8/31,710,730.5,708,725,984,6274
2007/8/30,695,719,695,711.5,1252,5817
2007/8/29,690,695.5,684,695.25,1418,5257
2007/8/28,687,687.5,680,684,251,4974
2007/8/27,685.25,686,681,682,298,4872
2007/8/24,680,690,680,685.75,202,4806
2007/8/23,679,693,672,687,1144,4701
2007/8/22,671.5,681,668,679,453,4334
2007/8/21,664,672,662.5,666,481,4231
2007/8/20,656.5,662,655,662,363,4124
2007/8/17,658.5,665,652,663.25,331,3949
2007/8/16,664.5,671,648,665,427,3849
2007/8/15,688,690,672,674.75,423,3842
2007/8/14,683,685.5,678,685,567,3792
2007/8/13,668,672,664,669.25,311,3634
2007/8/10,676.5,678,665,666,297,3573
2007/8/9,685,690,673,677.5,559,3521
2007/8/8,672,685,670,685,176,3399
2007/8/7,675,675,669,672,207,3388
2007/8/6,663,674,660,670,263,3341
2007/8/3,664,667,664,664,159,3278
2007/8/2,656,668.5,656,661.75,273,3226
2007/8/1,653,657.5,646.5,656.75,227,3120
2007/7/31,656.75,656.75,647.75,653,328,3042
2007/7/30,670,670,653.5,656.5,149,2854
2007/7/27,663,670,662,670,134,2821
2007/7/26,659,679,659,667,259,2796
2007/7/25,663,663,656,659,139,2695
2007/7/24,662,670,656.5,663.75,270,2673
2007/7/23,646,648.5,644,646.5,321,2512
2007/7/20,648.5,651,643,645.5,394,2363
2007/7/19,650,654,632,642,91,2345
2007/7/18,634,650,634,647,107,2319
2007/7/17,641,644,633,634,106,2255
2007/7/16,646,646,631,638,128,2211
2007/7/13,639.75,642,627.75,639.25,1854,25427
2007/7/12,635,645,631,640,1644,25326
2007/7/11,622.75,636,622,635,1390,24606
2007/7/10,618,626.5,618,619.5,1227,24230
